artist,songs,max_pop,avg_pop,avg_duration,avg_tempo,avg_energy,avg_danceability,average_loudness,avg_speechiness,avg_instrumentalness,avg_acousticness,avg_liveness,avg_valence,avg_mode,avg_key,avg_time_sig
Trevor Something,6,50,45.00,232821.33,105.99,0.64,0.59,-9.10,0.04,0.79,0.09,0.18,0.39,0.67,4.50,4.00
Trey Gruber,3,16,14.67,181379.00,92.88,0.32,0.56,-8.81,0.03,0.12,0.36,0.21,0.44,1.00,1.00,4.00
Trey Lewis,11,66,44.73,195910.45,142.29,0.80,0.52,-4.58,0.04,0.00,0.09,0.14,0.51,1.00,5.45,4.00
Trey Songz,79,70,39.00,234250.34,117.59,0.63,0.63,-6.19,0.09,0.00,0.17,0.23,0.44,0.49,5.35,4.01
TRFN,2,57,52.50,184503.00,131.28,0.47,0.69,-7.58,0.17,0.39,0.38,0.11,0.12,0.50,9.00,3.50
TRG,5,30,17.80,331106.80,138.60,0.77,0.68,-8.99,0.14,0.59,0.02,0.35,0.23,0.80,4.00,4.00
Tři Sestry,19,43,23.05,160765.58,134.78,0.93,0.44,-3.14,0.11,0.00,0.04,0.43,0.62,0.74,4.37,3.95
TRI4TH,3,30,28.33,231008.67,127.37,0.91,0.54,-3.79,0.06,0.64,0.05,0.16,0.66,0.67,5.00,4.00
Triac,19,17,8.89,70004.58,120.41,0.94,0.23,-6.90,0.15,0.84,0.00,0.29,0.15,0.84,5.21,3.68
Triakel,4,16,13.50,146570.00,122.53,0.28,0.47,-11.00,0.04,0.00,0.94,0.25,0.68,0.50,3.75,3.75
Trial (swe),8,18,11.63,339374.63,128.44,0.70,0.43,-12.81,0.04,0.36,0.00,0.15,0.27,0.25,5.13,3.75
Triangle Sun,34,49,27.24,260523.41,124.78,0.58,0.60,-9.36,0.04,0.31,0.17,0.15,0.37,0.29,5.85,4.03
Triángulo de Amor Bizarro,3,35,34.00,195330.33,140.80,0.94,0.32,-2.90,0.06,0.18,0.00,0.34,0.30,0.67,8.67,4.00
Triathalon,46,40,22.07,195872.37,110.35,0.60,0.50,-8.85,0.05,0.41,0.32,0.18,0.43,0.59,6.20,3.87
Tribal Rain,6,52,48.33,243421.50,131.68,0.33,0.67,-12.52,0.04,0.13,0.93,0.11,0.57,0.67,5.17,3.50
Tribal Seeds,19,53,44.63,274206.26,132.48,0.62,0.79,-7.85,0.06,0.00,0.08,0.13,0.75,0.32,5.63,3.84
Tribe Society,11,53,31.00,227073.64,110.28,0.69,0.54,-7.37,0.04,0.13,0.17,0.29,0.30,0.45,4.73,3.91
Tribulation,34,37,18.38,309548.62,135.84,0.92,0.29,-6.19,0.08,0.35,0.01,0.24,0.15,0.44,4.59,3.91
Trick Daddy,29,64,33.24,243155.93,117.47,0.69,0.81,-6.08,0.23,0.00,0.07,0.18,0.70,0.48,5.83,3.97
Trick James,21,55,21.90,150283.81,114.96,0.54,0.73,-9.46,0.23,0.05,0.36,0.15,0.40,0.43,4.19,4.05
Trick Pony,12,46,21.17,200336.75,142.38,0.81,0.53,-5.39,0.07,0.00,0.13,0.22,0.71,1.00,4.83,4.00
Trick Trick,6,60,38.67,261575.00,102.41,0.76,0.77,-4.53,0.33,0.00,0.12,0.28,0.52,1.00,5.67,4.00
Tricky,115,55,19.03,208751.79,117.78,0.56,0.69,-9.56,0.09,0.24,0.28,0.15,0.48,0.53,5.80,3.87
Trifonic,21,36,17.76,314786.57,134.60,0.59,0.55,-9.37,0.04,0.58,0.14,0.20,0.21,0.24,6.29,3.81
TRIIIPL3 INC.,4,38,31.00,205539.25,151.23,0.95,0.52,-2.60,0.06,0.04,0.04,0.30,0.31,0.25,4.00,4.00
Trikk,7,33,25.14,297722.71,122.15,0.63,0.73,-7.54,0.08,0.72,0.03,0.12,0.35,0.86,2.29,3.86
Trilha Sonora do Gueto,8,51,30.88,325302.63,108.88,0.58,0.72,-9.28,0.34,0.00,0.31,0.28,0.84,0.38,4.63,3.63
Trillary Banks,4,33,25.75,189646.25,99.24,0.59,0.64,-9.25,0.34,0.00,0.17,0.19,0.51,0.50,5.50,4.00
Trillville,4,52,43.25,274420.50,82.01,0.66,0.84,-5.62,0.21,0.00,0.01,0.11,0.67,1.00,3.75,4.00
Trilucid,13,54,37.77,259914.08,122.70,0.74,0.65,-9.46,0.06,0.82,0.17,0.26,0.30,0.46,5.23,4.00
Trina,23,49,32.17,219689.43,120.34,0.68,0.82,-6.08,0.19,0.00,0.14,0.21,0.63,0.83,4.09,4.04
Trina Broussard,5,20,12.80,256024.00,85.85,0.62,0.66,-5.98,0.10,0.00,0.41,0.32,0.60,1.00,4.80,4.00
Trini Lopez,42,46,13.33,176977.21,128.31,0.60,0.56,-11.54,0.05,0.01,0.51,0.38,0.78,0.81,5.33,3.98
Trinidad James,5,54,43.80,204226.80,115.16,0.74,0.68,-7.19,0.34,0.00,0.04,0.28,0.69,0.80,4.00,4.00
Trin-I-Tee 5:7,27,34,12.44,248240.44,98.17,0.55,0.66,-6.90,0.09,0.00,0.19,0.14,0.51,0.67,4.89,4.00
Trinity FM,3,35,30.33,180169.00,112.24,0.79,0.69,-8.48,0.03,0.24,0.16,0.38,0.45,1.00,3.33,4.00
Trinity Inspirational Choir,13,29,15.92,265828.38,116.19,0.82,0.42,-5.60,0.07,0.01,0.13,0.35,0.59,0.85,4.00,3.85
Trio Ayacucho,6,38,25.67,180648.67,113.43,0.58,0.66,-5.58,0.06,0.03,0.79,0.09,0.69,0.33,5.50,3.50
Trio Del Norte,9,58,46.56,288426.56,113.62,0.21,0.42,-16.77,0.04,0.85,0.85,0.12,0.14,0.78,4.89,4.00
Trio Me' Bumba,4,10,7.00,170806.50,114.16,0.65,0.60,-6.97,0.04,0.00,0.71,0.32,0.79,1.00,3.50,4.00
Trio Mediæval,7,34,29.71,152708.71,96.97,0.03,0.27,-26.75,0.04,0.14,0.99,0.11,0.13,0.43,4.57,4.00
Trio X of Sweden,11,40,22.73,294032.73,106.80,0.19,0.55,-18.42,0.04,0.74,0.86,0.10,0.35,0.73,5.27,3.82
Triola,4,12,9.25,318996.50,107.49,0.16,0.39,-21.19,0.03,0.94,0.88,0.11,0.10,0.25,2.25,4.00
Triosence,3,29,23.00,236257.00,113.95,0.32,0.53,-15.23,0.03,0.60,0.80,0.09,0.38,0.67,5.67,4.00
Triosphere,22,35,15.18,280538.77,141.97,0.92,0.40,-4.64,0.10,0.07,0.00,0.17,0.28,0.27,6.23,3.95
Trip Lee,9,45,36.56,252520.44,132.47,0.75,0.70,-5.64,0.20,0.00,0.16,0.20,0.57,0.67,6.33,4.00
Triple One,9,44,37.22,220418.78,131.08,0.61,0.68,-7.53,0.10,0.00,0.27,0.15,0.33,0.56,4.44,4.00
Trippin Jaguar,5,47,40.80,343169.40,101.01,0.36,0.79,-12.82,0.09,0.82,0.44,0.21,0.46,0.20,6.60,4.00
Tripswitch,21,37,20.29,452634.86,121.58,0.71,0.55,-11.28,0.05,0.78,0.18,0.17,0.35,0.67,6.19,3.86
Triptides,22,46,19.45,217139.59,129.29,0.77,0.40,-7.12,0.04,0.31,0.04,0.23,0.62,0.73,4.73,4.00
Triptykon,21,36,17.24,462442.48,124.24,0.73,0.34,-5.66,0.05,0.23,0.02,0.17,0.14,0.76,6.90,4.00
TRISEKT,4,33,26.25,220485.25,120.24,0.84,0.67,-3.56,0.10,0.52,0.16,0.25,0.33,0.75,3.00,4.00
Trish Toledo,14,44,32.29,202338.93,125.84,0.54,0.59,-5.47,0.03,0.01,0.40,0.18,0.51,0.57,5.50,3.71
Trisha Yearwood,33,55,26.42,221821.27,118.35,0.50,0.56,-7.58,0.03,0.00,0.55,0.13,0.41,0.94,4.88,3.91
Tristam,45,58,31.42,241610.33,124.27,0.67,0.49,-8.04,0.10,0.17,0.23,0.15,0.26,0.44,5.40,3.93
Tristan Eckerson,3,30,28.00,224426.67,139.68,0.06,0.45,-27.29,0.05,0.92,0.97,0.10,0.17,0.00,7.33,3.33
Tristan Prettyman,43,51,17.81,215732.30,112.07,0.50,0.65,-8.46,0.04,0.01,0.40,0.14,0.51,0.77,5.07,3.95
Tristania,33,33,15.61,313054.55,133.60,0.82,0.47,-6.48,0.05,0.14,0.01,0.21,0.28,0.42,5.24,3.79
Tristeria,9,29,19.78,267111.44,131.55,0.56,0.52,-10.93,0.06,0.61,0.26,0.17,0.35,0.11,7.00,4.00
Triston Marez,6,45,38.17,224785.83,144.65,0.68,0.56,-6.32,0.04,0.01,0.17,0.13,0.57,1.00,4.50,4.00
Triston Palma,14,26,11.71,249851.36,120.73,0.48,0.75,-8.02,0.12,0.00,0.05,0.19,0.61,0.57,4.93,4.00
Tritonal,208,61,21.79,239858.17,127.72,0.80,0.56,-5.90,0.08,0.14,0.11,0.25,0.35,0.54,5.98,3.93
Triumph,23,52,21.09,329383.22,107.87,0.85,0.30,-5.80,0.08,0.12,0.00,0.44,0.32,0.65,6.00,4.00
Triumphant Quartet,62,28,15.74,216447.47,126.32,0.59,0.54,-6.85,0.05,0.00,0.39,0.15,0.43,0.92,5.69,3.89
Triumphator,3,11,8.33,255644.67,91.82,0.99,0.18,-4.92,0.11,0.45,0.00,0.32,0.02,0.33,9.33,4.00
Triumvir Foul,13,16,9.38,273178.00,127.53,0.93,0.17,-7.22,0.10,0.59,0.00,0.25,0.07,0.77,3.62,4.00
Trivecta,44,51,29.23,253123.20,127.95,0.79,0.44,-5.48,0.08,0.10,0.09,0.18,0.25,0.50,6.02,4.00
Trivium,130,61,36.35,289525.71,124.64,0.96,0.41,-4.34,0.10,0.08,0.00,0.22,0.36,0.40,5.55,3.91
Trixie Mattel,11,49,38.64,185828.09,104.52,0.65,0.59,-8.47,0.05,0.00,0.44,0.18,0.65,0.91,4.64,4.00
Trixter,5,17,14.20,254128.60,131.58,0.94,0.47,-5.26,0.09,0.00,0.01,0.17,0.46,1.00,4.80,4.00
Trna,10,19,11.00,674544.80,138.78,0.90,0.31,-5.54,0.12,0.84,0.00,0.17,0.14,0.40,3.90,4.00
Troels Hammer,3,38,24.33,295031.33,112.68,0.45,0.60,-15.29,0.03,0.87,0.61,0.10,0.18,0.33,4.67,4.00
Troglauer,56,51,17.36,193805.45,136.90,0.86,0.57,-4.52,0.07,0.00,0.05,0.26,0.72,0.91,5.52,3.91
Troika,3,14,10.33,394084.33,110.08,0.24,0.46,-19.14,0.03,0.94,0.67,0.19,0.13,1.00,6.00,4.00
Troll,3,7,6.33,247058.00,131.39,0.69,0.21,-4.27,0.05,0.84,0.00,0.25,0.15,0.67,2.33,4.00
Trolls,5,28,25.80,133318.40,95.44,0.46,0.70,-11.05,0.74,0.00,0.46,0.45,0.70,0.40,6.00,3.80
Trombone Shorty,55,46,26.91,200163.38,115.85,0.73,0.68,-6.10,0.08,0.31,0.17,0.19,0.69,0.56,5.02,3.89
Tronic,11,47,40.45,158585.36,161.87,0.94,0.45,-2.42,0.07,0.00,0.04,0.36,0.68,0.64,4.00,4.00
Troop,4,17,12.25,298769.25,120.22,0.54,0.66,-7.40,0.05,0.00,0.25,0.26,0.53,0.75,4.25,4.00
Trophy Eyes,36,50,28.81,188693.72,120.41,0.92,0.38,-2.00,0.06,0.01,0.02,0.26,0.50,0.92,3.72,3.94
Trophy Scars,3,26,20.33,329198.33,140.81,0.76,0.32,-5.87,0.06,0.02,0.03,0.34,0.36,0.00,9.33,3.67
Tropical Fuck Storm,8,41,33.88,378279.88,119.60,0.67,0.42,-8.92,0.12,0.00,0.14,0.24,0.41,0.38,5.00,4.00
Tropical Highlight,5,9,8.40,493593.80,128.00,0.72,0.72,-9.02,0.05,0.84,0.00,0.10,0.38,0.40,7.80,4.00
Tropidelic,5,49,41.80,226014.60,131.15,0.71,0.65,-6.23,0.10,0.00,0.16,0.31,0.62,0.40,8.20,4.20
Tropkillaz,22,66,36.09,187515.27,118.16,0.84,0.68,-4.93,0.10,0.29,0.03,0.23,0.43,0.45,5.45,4.00
Trouble Funk,11,32,12.82,495083.00,103.72,0.79,0.71,-11.67,0.12,0.08,0.07,0.23,0.69,0.73,5.18,4.00
Troubled Horse,3,19,17.33,234940.00,134.91,0.89,0.42,-4.72,0.08,0.01,0.03,0.24,0.44,1.00,8.67,4.00
Troublemakers,5,36,15.80,123778.20,150.24,0.95,0.32,-4.16,0.10,0.00,0.00,0.42,0.64,0.80,4.40,4.00
Trout Steak Revival,3,29,27.33,231599.67,133.06,0.58,0.52,-9.05,0.03,0.00,0.58,0.25,0.63,0.33,7.33,4.00
